policy,pattern,hits,misses,total_accesses,hit_rate,miss_rate,writeback_rate,amat,writebacks,evictions,safety_overrides
FIFO,sequential,0.0,15000.0,15000.0,0.0,1.0,0.2985,141.8533,4473.3333,14984.0,0.0
FIFO,random,117.0,14883.0,15000.0,0.0078,0.9922,0.2977,140.9933,4426.6667,14867.0,0.0
FIFO,stride,0.0,15000.0,15000.0,0.0,1.0,0.2986,141.86,4476.3333,14992.0,0.0
FIFO,zipfian,6016.0,8984.0,15000.0,0.4011,0.5989,0.3841,110.3033,3444.6667,8968.0,0.0
LRU,sequential,0.0,15000.0,15000.0,0.0,1.0,0.2985,141.8533,4473.3333,14984.0,0.0
LRU,random,117.3333,14882.6667,15000.0,0.0078,0.9922,0.2977,140.99,4426.3333,14866.6667,0.0
LRU,stride,0.0,15000.0,15000.0,0.0,1.0,0.2986,141.86,4476.3333,14992.0,0.0
LRU,zipfian,6887.3333,8112.6667,15000.0,0.4592,0.5408,0.3546,101.55,2871.6667,8096.6667,0.0
LFU,sequential,0.0,15000.0,15000.0,0.0,1.0,0.2979,141.79,4463.6667,14984.0,0.0
LFU,random,120.3333,14879.6667,15000.0,0.008,0.992,0.296,140.8,4399.6667,14863.6667,0.0
LFU,stride,0.0,15000.0,15000.0,0.0,1.0,0.2982,141.8233,4470.6667,14992.0,0.0
LFU,zipfian,8617.0,6383.0,15000.0,0.5744,0.4256,0.3008,84.6367,1915.3333,6367.0,0.0
Belady's,sequential,98.0,14902.0,15000.0,0.0065,0.9935,0.2993,141.28,4456.0,14886.0,0.0
Belady's,random,1058.3333,13941.6667,15000.0,0.0706,0.9294,0.3117,136.12,4341.0,13925.6667,0.0
Belady's,stride,406.0,14594.0,15000.0,0.0271,0.9729,0.301,139.3967,4390.6667,14586.0,0.0
Belady's,zipfian,9105.6667,5894.3333,15000.0,0.6071,0.3929,0.3494,86.2333,2054.0,5878.3333,0.0
DQN,sequential,0.0,15000.0,15000.0,0.0,1.0,0.2981,141.81,4467.0,14984.0,0.0
DQN,random,129.0,14871.0,15000.0,0.0086,0.9914,0.296,140.7367,4396.6667,14855.0,0.0
DQN,stride,0.6667,14999.3333,15000.0,0.0001,0.9999,0.2983,141.8267,4472.3333,14991.3333,0.0
DQN,zipfian,6730.6667,8269.3333,15000.0,0.4487,0.5513,0.318,98.9333,2625.0,8253.3333,0.0
